dataset,system,n_examples,n_failed,exact_match,exact_match_ci_low,exact_match_ci_high,normalized_exact_match,normalized_exact_match_ci_low,normalized_exact_match_ci_high,token_f1,token_f1_ci_low,token_f1_ci_high,answer_accuracy,answer_accuracy_ci_low,answer_accuracy_ci_high,citation_precision,citation_precision_ci_low,citation_precision_ci_high,citation_recall,citation_recall_ci_low,citation_recall_ci_high,citation_completeness,citation_completeness_ci_low,citation_completeness_ci_high,evidence_precision,evidence_precision_ci_low,evidence_precision_ci_high,evidence_recall,evidence_recall_ci_low,evidence_recall_ci_high,answer_evidence_entailment,answer_evidence_entailment_ci_low,answer_evidence_entailment_ci_high,contradiction_rate,contradiction_rate_ci_low,contradiction_rate_ci_high,unsupported_claim_rate,unsupported_claim_rate_ci_low,unsupported_claim_rate_ci_high,invalid_citations,invalid_citations_ci_low,invalid_citations_ci_high,empty_prediction,empty_prediction_ci_low,empty_prediction_ci_high
synthetic_graph,passage_rag,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,0.1538,0.0,0.0,0.0,0.8333,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333,0.6667,1.0,1.0,1.0,1.0,0.05,0.0,0.1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_graph,reranked_passage_rag,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,0.1538,0.0,0.0,0.0,0.8333,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333,0.6667,1.0,1.0,1.0,1.0,0.05,0.0,0.1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_graph,claim_only_rag,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,0.1538,0.0,0.0,0.0,0.8333,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333,0.6667,1.0,1.0,1.0,1.0,0.05,0.0,0.1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_graph,graph_no_propagation,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.1667,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0556,0.0,0.1111,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_graph,graph_top_claim,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,0.1538,0.0,0.0,0.0,0.8333,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333,0.6667,1.0,1.0,1.0,1.0,0.05,0.0,0.1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_graph,graph_coherent_subgraph,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.1667,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0556,0.0,0.1111,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_graph,graph_no_temporal,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.1667,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0556,0.0,0.1111,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_graph,graph_no_contradiction,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.1667,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0556,0.0,0.1111,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_graph,graph_with_propagation,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.1667,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0556,0.0,0.1111,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetic_graph,full_egrag,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,0.1667,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.0556,0.0,0.1111,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
temporal_conflict,passage_rag,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.1,0.1,0.1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
temporal_conflict,reranked_passage_rag,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.1,0.1,0.1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
temporal_conflict,claim_only_rag,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.1,0.1,0.1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
temporal_conflict,graph_no_propagation,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111,0.1111,0.1111,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
temporal_conflict,graph_top_claim,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.1,0.1,0.1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
temporal_conflict,graph_coherent_subgraph,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111,0.1111,0.1111,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
temporal_conflict,graph_no_temporal,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111,0.1111,0.1111,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
temporal_conflict,graph_no_contradiction,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111,0.1111,0.1111,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
temporal_conflict,graph_with_propagation,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111,0.1111,0.1111,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
temporal_conflict,full_egrag,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111,0.1111,0.1111,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
